State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
North Carolina,Donna,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Angela,Angela,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Ashley,Ashley,Brittany,Brittany,Brittany,Ashley,Ashley,Ashley,Ashley,Hannah,Hannah,Hannah,Hannah,Hannah,Hannah,Madison,Madison,Emma,Emily,Madison,Madison,Emma,Emma,Emma,Emma,Emma
North Dakota,Mary,Mary,Lori,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Michelle,Michelle,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Jessica,Ashley,Ashley,Ashley,Ashley,Amanda,Ashley,Ashley,Ashley,Ashley,Samantha,Taylor,Ashley,Emily,Emily,Emily,Hannah,Madison,Madison,Madison,Emma,Madison,Emma,Ava,Emma,Ava,Olivia,Sophia,Emma,Emma
Ohio,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Emily,Emily,Emily,Emily,Hannah,Hannah,Madison,Madison,Emma,Emma,Emma,Emma,Ava,Ava,Isabella,Isabella,Emma,Sophia
Oklahoma,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Kimberly,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Jessica,Ashley,Jessica,Ashley,Ashley,Ashley,Ashley,Jessica,Madison,Taylor,Hannah,Madison,Madison,Madison,Madison,Emily,Madison,Emma,Emma,Emma,Emma,Isabella,Isabella,Emma,Emma
Oregon,Susan,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Michelle,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Ashley,Jessica,Ashley,Jessica,Ashley,Jessica,Jessica,Jessica,Jessica,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emma,Emily,Emma,Emma,Emma,Olivia,Emma,Sophia,Sophia,Sophia
Pennsylvania,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Ava,Ava,Ava,Isabella,Isabella,Sophia,Emma
Rhode Island,Donna,Susan,Susan,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Jennifer,Jennifer,Amanda,Ashley,Ashley,Amanda,Amanda,Ashley,Amanda,Ashley,Ashley,Ashley,Samantha,Emily,Emily,Emily,Emily,Emily,Emily,Madison,Emily,Emily,Olivia,Isabella,Sophia,Ava,Isabella,Isabella,Sophia,Sophia
South Carolina,Mary,Mary,Mary,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Angela,Angela,Angela,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Ashley,Ashley,Jessica,Brittany,Brittany,Ashley,Ashley,Ashley,Ashley,Taylor,Taylor,Hannah,Hannah,Hannah,Hannah,Madison,Madison,Madison,Madison,Emily,Madison,Madison,Madison,Emma,Madison,Madison,Emma
South Dakota,Mary,Lori,Lori,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Megan,Ashley,Samantha,Hannah,Emily,Alexis,Hannah,Madison,Hannah,Emma,Madison,Emma,Emma,Ava,Emma,Emma,Sophia,Ava,Emma
Tennessee,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Angela,Angela,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Amanda,Amanda,Amanda,Jennifer,Ashley,Ashley,Ashley,Ashley,Ashley,Jessica,Jessica,Jessica,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Hannah,Hannah,Hannah,Hannah,Hannah,Madison,Madison,Madison,Madison,Madison,Emma,Emma,Emma,Isabella,Emma,Emma
